bf_id,osm_id,distance_to_bf_m,is_in_bf,business_year,bf_year
bf_0,26409896,447.7696572291722,0,2025,2022
bf_0,26409901,404.1406084369508,0,2025,2022
bf_0,74739797,741.7506903628471,0,2025,2022
bf_0,74740088,703.8018630618766,0,2025,2022
bf_0,74740125,534.0599596086253,0,2025,2022
bf_0,75070241,499.4406024247574,0,2025,2022
bf_0,75070298,784.9271378367446,0,2025,2022
bf_0,77991925,232.9419928524463,0,2025,2022
bf_0,78068221,489.21719375437783,0,2025,2022
bf_0,78068259,729.1931178965199,0,2025,2022
bf_0,78068405,547.3398985396955,0,2025,2022
bf_0,78068585,666.8782263347844,0,2025,2022
bf_0,78069032,156.94533020765977,0,2025,2022
bf_0,260780581,968.9731472967749,0,2025,2022
bf_0,271589769,647.1508619788706,0,2025,2022
bf_0,271589780,568.0006793324123,0,2025,2022
bf_0,283014522,793.8385220359814,0,2025,2022
bf_0,284221597,837.3920756638887,0,2025,2022
bf_0,285334057,104.07345190975921,0,2025,2022
bf_0,285334058,47.64765559196642,0,2025,2022
bf_0,628239975,978.368497540054,0,2025,2022
bf_0,677315572,882.0639417303333,0,2025,2022
bf_0,781528671,456.75050167615365,0,2025,2022
bf_0,1001551479,872.876535834027,0,2025,2022
bf_0,1164907372,724.9399775646655,0,2025,2022
bf_0,1164907373,805.2298011647277,0,2025,2022
bf_0,232253049,855.2418762108344,0,2025,2022
bf_0,241881985,694.8995358623372,0,2025,2022
bf_0,250062171,951.8218627964156,0,2025,2022
bf_0,259287079,667.2059847059757,0,2025,2022
bf_0,259287081,646.1752936888171,0,2025,2022
bf_0,259290444,394.2624934690735,0,2025,2022
bf_0,259774930,280.69639391803213,0,2025,2022
bf_0,286395617,890.5348956754307,0,2025,2022
bf_0,286396731,280.93627591307984,0,2025,2022
bf_0,286397193,342.9184558553995,0,2025,2022
bf_0,286397193,342.9184558553995,0,2025,2022
bf_0,288927066,262.22956322915695,0,2025,2022
bf_0,288927587,150.7869272423699,0,2025,2022
bf_0,288927615,830.6731701734709,0,2025,2022
bf_0,289342446,485.408610735674,0,2025,2022
bf_0,289342538,325.9561854505296,0,2025,2022
bf_0,289342798,174.3416054737072,0,2025,2022
bf_0,297871264,505.67102619033716,0,2025,2022
bf_0,302730430,783.3947587161967,0,2025,2022
bf_0,320359787,391.6218849007804,0,2025,2022
bf_0,320360043,513.7788756435601,0,2025,2022
bf_0,320360103,470.58749475773004,0,2025,2022
bf_0,320360804,525.7100860105044,0,2025,2022
bf_0,320360815,552.049392216904,0,2025,2022
bf_0,320361995,19.547610239348046,0,2025,2022
bf_0,320363024,181.48020779688198,0,2025,2022
bf_0,320371207,674.931401808759,0,2025,2022
bf_0,321359458,506.8227147319693,0,2025,2022
bf_0,322918699,545.9059217600781,0,2025,2022
bf_0,322918701,611.3064128862454,0,2025,2022
bf_0,322925548,958.1341781493297,0,2025,2022
bf_0,322925550,968.5549507809487,0,2025,2022
bf_0,330488920,527.2243609155008,0,2025,2022
bf_0,346667263,608.1902557737025,0,2025,2022
bf_0,346667879,582.9898236917472,0,2025,2022
bf_0,358306104,925.6055228978361,0,2025,2022
bf_0,376847813,361.45540685029414,0,2025,2022
bf_0,376847827,307.0299133490698,0,2025,2022
bf_0,378353984,219.57150434611845,0,2025,2022
bf_0,378357483,196.67763529623292,0,2025,2022
bf_0,378376178,712.727115634544,0,2025,2022
bf_0,378378695,915.8568777493091,0,2025,2022
bf_0,378382007,964.6857353216278,0,2025,2022
bf_0,411730018,684.5793367649395,0,2025,2022
bf_0,418187000,565.3792401875443,0,2025,2022
bf_0,429464095,846.499989635656,0,2025,2022
bf_0,431620457,720.8500203846354,0,2025,2022
bf_0,431760212,769.9267132359665,0,2025,2022
bf_0,431763219,771.9389622484013,0,2025,2022
bf_0,432361262,709.5025890817413,0,2025,2022
bf_0,432361263,754.7600618411595,0,2025,2022
bf_0,432361265,681.3584708435287,0,2025,2022
bf_0,432361267,606.4950174772305,0,2025,2022
bf_0,432361268,594.9174893676452,0,2025,2022
bf_0,432361269,546.5517490446376,0,2025,2022
bf_0,432363205,224.4992207386874,0,2025,2022
bf_0,432367669,436.1111423282815,0,2025,2022
bf_0,432367677,609.7889871891725,0,2025,2022
bf_0,432367680,722.1733669264107,0,2025,2022
bf_0,432367685,766.4159165824279,0,2025,2022
bf_0,432367690,764.6329161257559,0,2025,2022
bf_0,432594053,912.5866538083504,0,2025,2022
bf_0,432594054,927.154759065754,0,2025,2022
bf_0,432594055,924.8516831921326,0,2025,2022
bf_0,432594059,957.3768291327909,0,2025,2022
bf_0,432595773,401.88210234401953,0,2025,2022
bf_0,439183271,591.1811413105945,0,2025,2022
bf_0,463165532,888.9042360722618,0,2025,2022
